#,Album,Artist(s),Major contributors,Artist
340,Doggystyle,Snoop Doggy Dogg,Guerilla In Tha Mist,Snoop Doggy Dogg
341,Siamese Dream,The Smashing Pumpkins,,The Smashing Pumpkins
342,Let It Be,The Beatles,,The Beatles
343,Greatest Hits,Sly and the Family Stone,,Sly and the Family Stone
344,Funky Kingston,Toots and the Maytals,,Toots and the Maytals
345,"The Wild, the Innocent & the E Street Shuffle",Bruce Springsteen,,Bruce Springsteen
346,AM,Arctic Monkeys,,Arctic Monkeys
347,Liquid Swords,GZA,,GZA
348,Time,Gillian Welch,,Gillian Welch
349,Kick Out the Jams,MC5,,MC5
350,Music of My Mind,Stevie Wonder,,Stevie Wonder
351,SOS,SZA,,SZA
352,The Slim Shady LP,Eminem,Basilisk4u,Eminem
353,The Cars,The Cars,,The Cars
354,Germfree Adolescents,X-Ray Spex,,X-Ray Spex
355,Black Sabbath,Black Sabbath,,Black Sabbath
356,Gris-Gris,Dr. John,,Dr. John
357,Rain Dogs,Tom Waits,,Tom Waits
358,Sour,Olivia Rodrigo,,Olivia Rodrigo
359,Radio City,Big Star,,Big Star
360,One Nation Under a Groove,Funkadelic,,Funkadelic
361,The Black Parade,My Chemical Romance,Orfen,My Chemical Romance
362,Never Too Much,Luther Vandross,,Luther Vandross
363,Mothership Connection,Parliament,,Parliament
364,More Songs About Buildings and Food,Talking Heads,,Talking Heads
365,Madvillainy,Madvillain,AstonishingTunesAdmirer,Madvillain
366,Rocks,Aerosmith,,Aerosmith
367,If You're Reading This It's Too Late,Drake,,Drake
368,All Things Must Pass,George Harrison,JG66,George Harrison
369,The Infamous,Mobb Deep,,Mobb Deep
370,Tha Carter II,Lil Wayne,,Lil Wayne
371,Anthology,The Temptations,,The Temptations
372,Cheap Thrills,Big Brother and the Holding Company,,Big Brother and the Holding Company
373,Hot Buttered Soul,Isaac Hayes,,Isaac Hayes
374,King of the Delta Blues Singers,Robert Johnson,,Robert Johnson
375,Dookie,Green Day,Xihix,Green Day
376,In the Aeroplane Over the Sea,Neutral Milk Hotel,Famous Hobo,Neutral Milk Hotel
377,Fever to Tell,Yeah Yeah Yeahs,,Yeah Yeah Yeahs
378,Run-D.M.C.,Run-DMC,,Run-DMC
379,Moving Pictures,Rush,,Rush
380,Mingus Ah Um,Charles Mingus,,Charles Mingus
381,(Pronounced 'L_h-'n�rd 'Skin-'n�rd),Lynyrd Skynyrd,,Lynyrd Skynyrd
382,Currents,Tame Impala,,Tame Impala
383,Mezzanine,Massive Attack,,Massive Attack
384,The Kinks Are the Village Green Preservation Society,The Kinks,Tkbrett(Working),The Kinks
385,Rocket to Russia,Ramones,CrowzRSA,Ramones
386,Donuts,J Dilla,,J Dilla
387,In Rainbows,Radiohead,"Atlantik,Popcornduff",Radiohead
388,"Young, Gifted and Black",Aretha Franklin,,Aretha Franklin
389,The Emancipation of Mimi,Mariah Carey,Petergriffin9901,Mariah Carey
390,Surfer Rosa,Pixies,CloudNine,Pixies
391,Kaleidoscope,Kelis,,Kelis
392,Proud Mary: The Best of Ike & Tina Turner,Ike & Tina Turner,,Ike & Tina Turner
393,1989,Taylor Swift,HĐ,Taylor Swift
394,Diana,Diana Ross,,Diana Ross
395,Black Messiah,D'Angelo and the Vanguard,,D'Angelo and the Vanguard
396,Something/Anything?,Todd Rundgren,Ritchie333,Todd Rundgren
397,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,,Billie Eilish
398,The Raincoats,The Raincoats,,The Raincoats
399,Brian Wilson Presents Smile,Brian Wilson,,Brian Wilson
400,Beauty and the Beat,The Go-Go's,,The Go-Go's
401,Blondie,Blondie,,Blondie
402,Expensive Shit,Fela Kuti and Africa '70,,Fela Kuti and Africa '70
403,Supreme Clientele,Ghostface Killah,,Ghostface Killah
404,Rapture,Anita Baker,,Anita Baker
405,"Nuggets: Original Artyfacts from the First Psychedelic Era, 1965–1968",Various artists,,Various artists
406,69 Love Songs,The Magnetic Fields,,The Magnetic Fields
407,Everybody Knows This Is Nowhere,Neil Young,,Neil Young
408,Ace of Spades,Motörhead,,Motörhead
409,Workingman's Dead,Grateful Dead,,Grateful Dead
410,Wild Honey,The Beach Boys,ILIL,The Beach Boys
411,Love and Theft,Bob Dylan,,Bob Dylan
412,Going to a Go-Go,Smokey Robinson,,Smokey Robinson
413,Cosmo's Factory,Creedence Clearwater Revival,,Creedence Clearwater Revival
414,Risqué,Chic,,Chic
415,Look-Ka Py Py,The Meters,,The Meters
416,Things Fall Apart,The Roots,,The Roots
417,The Shape of Jazz to Come,Ornette Coleman,,Ornette Coleman
418,Brothers in Arms,Dire Straits,,Dire Straits
419,Chief,Eric Church,,Eric Church
420,That's the Way of the World,"Earth, Wind & Fire",,"Earth, Wind & Fire"
421,Arular,M.I.A.,ChrisTheDude,M.I.A.
422,Let's Get It On,Marvin Gaye,isento,Marvin Gaye
423,I Can Hear the Heart Beating as One,Yo La Tengo,Niwi3,Yo La Tengo
424,Odelay,Beck,,Beck
425,Paul Simon,Paul Simon,,Paul Simon
426,Lucinda Williams,Lucinda Williams,,Lucinda Williams
427,Call Me,Al Green,,Al Green
428,New Day Rising,Hüsker Dü,,Hüsker Dü
429,Reach Out,Four Tops,,Four Tops
430,Un Verano Sin Ti,Bad Bunny,,Bad Bunny
431,How Will the Wolf Survive?,Los Lobos,,Los Lobos
